sector,key,list_key,row_id,name,country,register_class,list_status,capacity_value,capacity_unit,perimeter_clause,rungs_passed,scored,unread,site_result,site_searched,site_source,site_speaker,site_date,site_precision,site_note,capacity_result,capacity_searched,capacity_source,capacity_speaker,capacity_date,capacity_precision,capacity_note,fid_result,fid_searched,fid_source,fid_speaker,fid_date,fid_precision,fid_note,funding_result,funding_searched,funding_source,funding_speaker,funding_date,funding_precision,funding_note,start_result,start_searched,start_source,start_speaker,start_date,start_precision,start_note,input_result,input_searched,input_source,input_speaker,input_date,input_precision,input_note,input_provisional
hydrogen,iea:6,6,,Norsk e-Fuel Mosjøen,NOR,perimeter exclusion,Feasibility study,35.92314119,ktH2Y,DRI or other perimeter exclusion,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:9,9,,HYBRIT demo,SWE,perimeter exclusion,FID/Construction,84.74347826,ktH2Y,DRI or other perimeter exclusion,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:14,14,,CRI project in Norway (Circlenergy),NOR,none found,Feasibility study,19.05786667,ktH2Y,,0,true,false,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,admission search found no owner or permit source,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this entry,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,false
hydrogen,iea:97,97,,H21 Leeds City Gate - Teesside hydrogen,GBR,perimeter exclusion,Feasibility study,3033.369,ktH2Y,blue,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:111,111,,"Hynet Northwest, phase 1 (Essar Stanlow refinery)",GBR,perimeter exclusion,Feasibility study,91.98,ktH2Y,blue,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:508,508,,Iberdrola - Puertollano II (extension from Ref10),ESP,unread,Feasibility study,31.536,ktH2Y,,0,false,true,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,false
hydrogen,iea:532,532,hoest-ptx-esbjerg,Høst - Esbjerg green ammonia plant,DK,admitted,Concept,100000,t_h2_per_year,,2,true,false,pass,true,https://hoestptxesbjerg.dk/about-ptx/,HØST PtX Esbjerg,2026-09-09,day,"the admitting source names the site as 'Måde, Esbjerg'",pass,true,https://hoestptxesbjerg.dk/about-ptx/,owner,2026-09-09,day,100000 t_h2_per_year as stated,fail,true,https://hoestptxesbjerg.dk/about-ptx/,owner,2026-09-09,day,no owner statement that FID has been taken,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this project,fail,true,https://hoestptxesbjerg.dk/about-ptx/,owner,2026-09-09,day,no owner-stated start carrying a date precision,fail,true,https://hoestptxesbjerg.dk/about-ptx/,owner,2026-09-09,day,row edge carries no firmness; brief 9's axis is where rung 6 reads,true
hydrogen,iea:543,543,,Acorn H2,GBR,perimeter exclusion,Feasibility study,49.932,ktH2Y,blue,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:562,562,,H2H Saltend,GBR,perimeter exclusion,Feasibility study,149.796,ktH2Y,blue,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:595,595,engie-hynetherlands-eemshaven,"HyNetherlands, 1st phase",NL,admitted,Feasibility study,100,MW_input,,2,true,false,pass,true,https://www.hynetherlands.nl/en/project/,"HyNetherlands (ENGIE, OCI, EEW)",2026-09-10,day,"the admitting source names the site as 'Eems power plant site, Eemshaven'",pass,true,https://www.hynetherlands.nl/en/project/,owner,2026-09-10,day,100 MW_input as stated,fail,true,https://www.hynetherlands.nl/en/project/,owner,2026-09-10,day,no owner statement that FID has been taken,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this project,fail,true,https://www.hynetherlands.nl/en/project/,owner,2026-09-10,day,no owner-stated start carrying a date precision,fail,true,sources/edges.json,eufabric dependency sweep,2026-09-11,day,"no edge in the dependency graph names this project; the date is the graph's newest statement, not a sweep date",true
