iea_ref,name,country,iea_status_2023_vintage,technology,capacity_value,capacity_unit,announced_size,ou_outcome,ou_restated_status,ou_restated_date_online,ou_comment,in_current_iea_vintage,in_ladder_population,register_class,census_searched,readable_capture_at_or_before_cutoff,rungs_cleared_as_of,site_result,site_searched,site_source,site_speaker,site_date,site_precision,site_note,capacity_result,capacity_searched,capacity_source,capacity_speaker,capacity_date,capacity_precision,capacity_note,fid_result,fid_searched,fid_source,fid_speaker,fid_date,fid_precision,fid_note,funding_result,funding_searched,funding_source,funding_speaker,funding_date,funding_precision,funding_note,start_result,start_searched,start_source,start_speaker,start_date,start_precision,start_note,input_result,input_searched,input_source,input_speaker,input_date,input_precision,input_note,as_of
3,H2GO Energy Park Oude-Tonge - 1st phase,NLD,FID/Construction,Other Electrolysis,2.5,MWel,2.5MW,delayed,FID/Construction,2024,[49] Doesn't look operational -> Postpone to 2024,yes,no,never seen by this register,yes,no,0,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,census pass: no reference of this entry answered a declared reader,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
205,"HySynergy, phase 1",DNK,FID/Construction,ALK,20.0,MWel,20MW,delayed,FID/Construction,2024,"[15] ""production now expected to commence in the second half of 2024""",yes,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20220315052738/https://bioenergyinternational.com/storage-logistics/everfuel-and-shell-enter-into-strategic-collaboration-on-a-large-scale-hydrogen-plant,eufabric cohort census,2022-03-15,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20220315052738/https://bioenergyinternational.com/storage-logistics/everfuel-and-shell-enter-into-strategic-collaboration-on-a-large-scale-hydrogen-plant,eufabric cohort census,2022-03-15,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20220315052738/https://bioenergyinternational.com/storage-logistics/everfuel-and-shell-enter-into-strategic-collaboration-on-a-large-scale-hydrogen-plant,eufabric cohort census,2022-03-15,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20220315052738/https://bioenergyinternational.com/storage-logistics/everfuel-and-shell-enter-into-strategic-collaboration-on-a-large-scale-hydrogen-plant,eufabric cohort census,2022-03-15,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20220315052738/https://bioenergyinternational.com/storage-logistics/everfuel-and-shell-enter-into-strategic-collaboration-on-a-large-scale-hydrogen-plant,eufabric cohort census,2022-03-15,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
500,"REMOTE - Spain, Canary Islands",ESP,Operational,ALK,0.08,MWel,0.080MW,on time,Operational,2023,,no,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20230930083540/https://www.remote-euproject.eu/remote-project/,eufabric cohort census,2023-09-30,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20230930083540/https://www.remote-euproject.eu/remote-project/,eufabric cohort census,2023-09-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230930083540/https://www.remote-euproject.eu/remote-project/,eufabric cohort census,2023-09-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230930083540/https://www.remote-euproject.eu/remote-project/,eufabric cohort census,2023-09-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230930083540/https://www.remote-euproject.eu/remote-project/,eufabric cohort census,2023-09-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
548,"Green fertilizer project Porsgrunn-Heroya, phase 1 - SKREI",NOR,FID/Construction,PEM,24.0,MWel,24MW,delayed,FID/Construction,2024,[11] Project inaugurated,yes,no,never seen by this register,yes,yes,1,pass,true,https://web.archive.org/web/20230923142627/https://www.yara.com/corporate-releases/yara-begins-electrifying-the-factory-at-heroya/,owner,2023-09-23,not_after,"census pass, hand verdict: Yara's own release 'Yara begins electrifying the factory at Heroya' names the Heroya works at Porsgrunn",fail,true,https://web.archive.org/web/20230923084028/https://www.yara.com/news-and-media/news/archive/2019/yara-and-nel-carbon-free-hydrogen-for-fertilizer-production/,eufabric cohort census,2023-09-23,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230923084028/https://www.yara.com/news-and-media/news/archive/2019/yara-and-nel-carbon-free-hydrogen-for-fertilizer-production/,eufabric cohort census,2023-09-23,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230923084028/https://www.yara.com/news-and-media/news/archive/2019/yara-and-nel-carbon-free-hydrogen-for-fertilizer-production/,eufabric cohort census,2023-09-23,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230923084028/https://www.yara.com/news-and-media/news/archive/2019/yara-and-nel-carbon-free-hydrogen-for-fertilizer-production/,eufabric cohort census,2023-09-23,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
574,"H2 Pilotanlage  Lingen, phase 1",DEU,FID/Construction,ALK,14.0,MWel,14 MW (10 + 4),delayed,FID/Construction,2024,"[18] Only 250 kW inaugurated, ""In a few months, our 14-megawatt pilot electrolyser at the Lingen plant, our first one that will produce hydrogen on an industrial scale, will also go into operation."" -> Delayed to 2024",yes,no,never seen by this register,yes,yes,1,pass,true,https://web.archive.org/web/20231004134558/https://www.rwe.com/presse/rwe-generation/2023-09-06-get-h2-nukleus-behoerden-genehmigen-bau-und-betrieb-der-elektrolyse-grossanlage-in-lingen/,owner,2023-10-04,not_after,"census pass, hand verdict: RWE's own release names the electrolysis plant 'in Lingen' -- 'Behoerden genehmigen Bau und Betrieb der Elektrolyse-Grossanlage in Lingen'",fail,true,https://web.archive.org/web/20221005022438/https://www.get-h2.de/en/project-lingen/,eufabric cohort census,2022-10-05,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20221005022438/https://www.get-h2.de/en/project-lingen/,eufabric cohort census,2022-10-05,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20221005022438/https://www.get-h2.de/en/project-lingen/,eufabric cohort census,2022-10-05,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20221005022438/https://www.get-h2.de/en/project-lingen/,eufabric cohort census,2022-10-05,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
597,HyGreen Provence (Phase 1),FRA,Feasibility study,Other Electrolysis,1.0,MWel,1MW,delayed,Feasibility study,2024,"[73] ""hydrogen storage will be developed in salt caverns by 2024""",no,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20210920022303/https://www.smart-energy.com/renewable-energy/engie-signs-cooperation-deal-to-participate-in-hygreen-provence-project-air-liquede/,eufabric cohort census,2021-09-20,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20210920022303/https://www.smart-energy.com/renewable-energy/engie-signs-cooperation-deal-to-participate-in-hygreen-provence-project-air-liquede/,eufabric cohort census,2021-09-20,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20210920022303/https://www.smart-energy.com/renewable-energy/engie-signs-cooperation-deal-to-participate-in-hygreen-provence-project-air-liquede/,eufabric cohort census,2021-09-20,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20210920022303/https://www.smart-energy.com/renewable-energy/engie-signs-cooperation-deal-to-participate-in-hygreen-provence-project-air-liquede/,eufabric cohort census,2021-09-20,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20210920022303/https://www.smart-energy.com/renewable-energy/engie-signs-cooperation-deal-to-participate-in-hygreen-provence-project-air-liquede/,eufabric cohort census,2021-09-20,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
625,"Repsol Basque Hydrogen Corrido Bilbao, phase 1",ESP,FID/Construction,ALK,2.5,MWel,2.5MW,on time,Operational,2023,[50] Production started,no,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20220926152833/https://www.h2-view.com/story/repsol-unveils-green-hydrogen-project/,eufabric cohort census,2022-09-26,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20220926152833/https://www.h2-view.com/story/repsol-unveils-green-hydrogen-project/,eufabric cohort census,2022-09-26,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20220926152833/https://www.h2-view.com/story/repsol-unveils-green-hydrogen-project/,eufabric cohort census,2022-09-26,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20220926152833/https://www.h2-view.com/story/repsol-unveils-green-hydrogen-project/,eufabric cohort census,2022-09-26,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20220926152833/https://www.h2-view.com/story/repsol-unveils-green-hydrogen-project/,eufabric cohort census,2022-09-26,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
637,Multiphly,NLD,Operational,SOEC,2.5,MWel,2.5MW,on time,Operational,2023,[51] Commissioning is ongoing,yes,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20230922192516/https://www.offshore-energy.biz/multiplhy-project-sunfire-installs-worlds-largest-soec-electrolyser/,eufabric cohort census,2023-09-22,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20230922192516/https://www.offshore-energy.biz/multiplhy-project-sunfire-installs-worlds-largest-soec-electrolyser/,eufabric cohort census,2023-09-22,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230922192516/https://www.offshore-energy.biz/multiplhy-project-sunfire-installs-worlds-largest-soec-electrolyser/,eufabric cohort census,2023-09-22,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230922192516/https://www.offshore-energy.biz/multiplhy-project-sunfire-installs-worlds-largest-soec-electrolyser/,eufabric cohort census,2023-09-22,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230922192516/https://www.offshore-energy.biz/multiplhy-project-sunfire-installs-worlds-largest-soec-electrolyser/,eufabric cohort census,2023-09-22,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
645,Hyport - Toulouse-Blagnac Airport,FRA,Operational,ALK,2.0,MWel,2MW,on time,Operational,2023,"[62] ""With a production capacity of over 400 kilograms of carbon-free hydrogen a day, or the equivalent of one megawatt of high-power electrolysis""",yes,no,never seen by this register,yes,yes,1,pass,true,https://web.archive.org/web/20220812235318/https://www.engie-solutions.com/fr/actualites/station-hyport-toulouse-blagnac,owner,2022-08-12,not_after,"census pass, hand verdict: ENGIE Solutions' own page is the HyPort station at Toulouse-Blagnac airport, finer than the municipality",fail,true,https://web.archive.org/web/20220812235318/https://www.engie-solutions.com/fr/actualites/station-hyport-toulouse-blagnac,eufabric cohort census,2022-08-12,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20220812235318/https://www.engie-solutions.com/fr/actualites/station-hyport-toulouse-blagnac,eufabric cohort census,2022-08-12,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20220812235318/https://www.engie-solutions.com/fr/actualites/station-hyport-toulouse-blagnac,eufabric cohort census,2022-08-12,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20220812235318/https://www.engie-solutions.com/fr/actualites/station-hyport-toulouse-blagnac,eufabric cohort census,2022-08-12,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
702,GldH2,NLD,FID/Construction,Other Electrolysis,2.0,MWel,2MW,delayed,FID/Construction,2024,[63] No news regarding inauguration on official website -> delayed,no,no,never seen by this register,yes,no,0,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,census pass: no reference of this entry answered a declared reader,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
