entry_id,sector,name,country,register_class,reason,urls_to_open,folder
bn26:FAAM Terevola,batteries,FAAM Terevola,IT,searched none found,"no owner host in the entry's own records — nothing was fetched for it, and nothing may be guessed (L9)",,sources/manual/bn26-faam-terevola/
bn26:InoBat Serbia,batteries,InoBat Serbia,RS,searched none found,"no owner host in the entry's own records — nothing was fetched for it, and nothing may be guessed (L9)",,sources/manual/bn26-inobat-serbia/
bn26:InoBat Valladolid,batteries,InoBat Valladolid,ES,named not admitted,"no owner host in the entry's own records — nothing was fetched for it, and nothing may be guessed (L9)",,sources/manual/bn26-inobat-valladolid/
bn26:ProLogium Dunkirk,batteries,ProLogium Dunkirk,FR,searched none found,"no owner host in the entry's own records — nothing was fetched for it, and nothing may be guessed (L9)",,sources/manual/bn26-prologium-dunkirk/
bn26:TIAMAT Douvrin,batteries,TIAMAT Douvrin,FR,named not admitted,"no owner host in the entry's own records — nothing was fetched for it, and nothing may be guessed (L9)",,sources/manual/bn26-tiamat-douvrin/
iea:1191,hydrogen,AquaVentus (completion),DEU,none found,"every URL in the entry's own records answered nothing: www.aquaventus.com 200, empty body; www.aquaventus.com/news 200, empty body; www.aquaventus.com/en/news 200, empty body; www.aquaventus.com/press 200, empty body",https://ec.europa.eu/commission/presscorner/detail/en/ip_22_3298 | https://ec.europa.eu/commission/presscorner/detail/en/ip_22_5676 | https://ec.europa.eu/commission/presscorner/detail/en/ip_24_837 | https://cinea.ec.europa.eu/news-events/news/european-hydrogen-bank-auction-provides-eu720-million-renewable-hydrogen-production-europe-2024-04-30_en,sources/manual/iea-1191/
iea:1548,hydrogen,Lacq Hydrogen,ESP,none found,"every URL in the entry's own records answered nothing: www.lacq.com 200, empty body; www.lacq.com/news 200, empty body; www.lacq.com/en/news 200, empty body; www.lacq.com/press 200, empty body",https://ec.europa.eu/commission/presscorner/detail/en/ip_22_3298 | https://ec.europa.eu/commission/presscorner/detail/en/ip_22_5676 | https://ec.europa.eu/commission/presscorner/detail/en/ip_24_837 | https://cinea.ec.europa.eu/news-events/news/european-hydrogen-bank-auction-provides-eu720-million-renewable-hydrogen-production-europe-2024-04-30_en | https://www.enagas.es/en/press-room/news-room/press-releases/30_03_2021_np_proyecto_lacq_hydrogen/,sources/manual/iea-1548/
iea:1878,hydrogen,BrintØ - Hydrogen Island,DNK,none found,every URL in the entry's own records answered nothing: www.brint.com 403; www.brint.com/news 403; www.brint.com/en/news 403; www.brint.com/press 403,https://ec.europa.eu/commission/presscorner/detail/en/ip_22_3298 | https://ec.europa.eu/commission/presscorner/detail/en/ip_22_5676 | https://ec.europa.eu/commission/presscorner/detail/en/ip_24_837 | https://cinea.ec.europa.eu/news-events/news/european-hydrogen-bank-auction-provides-eu720-million-renewable-hydrogen-production-europe-2024-04-30_en | https://www.cip.com/projects/our-projects/hydrogen-island/,sources/manual/iea-1878/
iea:1907,hydrogen,"P2X Europe - Nordic Electrofuel Porsgrunn project, phase 2",NOR,none found,"every URL in the entry's own records answered nothing: www.europe.com 200, empty body; www.europe.com/news 200, empty body; www.europe.com/en/news 200, empty body; www.europe.com/press 200, empty body",https://ec.europa.eu/commission/presscorner/detail/en/ip_22_3298 | https://ec.europa.eu/commission/presscorner/detail/en/ip_22_5676 | https://ec.europa.eu/commission/presscorner/detail/en/ip_24_837 | https://cinea.ec.europa.eu/news-events/news/european-hydrogen-bank-auction-provides-eu720-million-renewable-hydrogen-production-europe-2024-04-30_en,sources/manual/iea-1907/
iea:2004,hydrogen,Hellenic Hydrogen in  Western Macedonia,GRC,named not admitted,"every URL in the entry's own records answered nothing: www.hellenic.com 200, empty body; www.hellenic.com/news 200, empty body; www.hellenic.com/en/news 200, empty body; www.hellenic.com/press 200, empty body",https://ec.europa.eu/commission/presscorner/detail/en/ip_22_3298 | https://ec.europa.eu/commission/presscorner/detail/en/ip_22_5676 | https://ec.europa.eu/commission/presscorner/detail/en/ip_24_837 | https://cinea.ec.europa.eu/news-events/news/european-hydrogen-bank-auction-provides-eu720-million-renewable-hydrogen-production-europe-2024-04-30_en,sources/manual/iea-2004/
iea:2017,hydrogen,Plug Power Porvoo plant,FIN,named not admitted,"every URL in the entry's own records answered nothing: www.plug.com 200, empty body; www.plug.com/news 404; www.plug.com/en/news 404; www.plug.com/press 404",https://ec.europa.eu/commission/presscorner/detail/en/ip_22_3298 | https://ec.europa.eu/commission/presscorner/detail/en/ip_22_5676 | https://ec.europa.eu/commission/presscorner/detail/en/ip_24_837 | https://cinea.ec.europa.eu/news-events/news/european-hydrogen-bank-auction-provides-eu720-million-renewable-hydrogen-production-europe-2024-04-30_en | https://www.ir.plugpower.com/press-releases/news-details/2023/Plug-Power-Makes-Major-Strategic-Move-into-Finlands-Green-Hydrogen-Economy-with-its-Proven-PEM-Electrolyzer-and-Liquefaction-Technology/default.aspx,sources/manual/iea-2017/
