entry_id,sector,name,country,register_class,query,candidate_url,what_the_candidate_is,verdict,note
bn26:FAAM Terevola,batteries,FAAM Terevola,IT,searched none found,FAAM Teverola gigafactory Seri Industrial battery plant official site,https://faam.com/en/teverola-plant-overview/,"the owner's own plant page (FAAM, Seri Industrial)",,"the register writes the site as Terevola; the owner and every document write it Teverola"
bn26:InoBat Serbia,batteries,InoBat Serbia,RS,searched none found,InoBat Serbia battery plant official announcement inobat.eu,https://www.inobat.eu/newsroom/inobat-signs-declarations-of-intent-with-the-republic-of-serbia-for-the-construction-of-a-new-ev-battery-gigafactory/,the owner's own newsroom release naming Serbia,,"a second release names Cuprija and the MOU: /newsroom/inobat-signs-mou-with-republic-of-serbias-ministry-of-finance-and-the-municipality-of-cuprija-to-build-its-second-giga-battery-manufacturing-and-recycling/"
bn26:InoBat Valladolid,batteries,InoBat Valladolid,ES,named not admitted,InoBat Valladolid Spain gigafactory official company announcement,https://www.inobat.eu/newsroom/inobat-auto-signs-declarations-of-intent-with-spain-for-construction-of-new-ev-battery-manufacturing-plant/,the owner's own newsroom release on the Spanish plant,,"the census note says inobat.eu answers 200 and does not name Valladolid; this is the release that does, if it does — that is what the verdict settles"
bn26:ProLogium Dunkirk,batteries,ProLogium Dunkirk,FR,searched none found,ProLogium Dunkirk gigafactory official site prologium.com Dunkerque,https://prologium.com/prologium-breaks-ground-on-dunkirk-gigafactory-in-france/,the owner's own groundbreaking release,,"prologium.com carries several Dunkirk releases; this is the one that dates construction"
bn26:TIAMAT Douvrin,batteries,TIAMAT Douvrin,FR,named not admitted,Tiamat Energy newsroom gigafactory site announcement tiamat-energy.com news,https://www.tiamat-energy.com/,the owner's own site,,"NO DOCUMENT FOUND NAMING DOUVRIN. Every source found puts the gigafactory at ZAC Jules Verne 2 near Boves, south-east of Amiens, with the implantation contract signed 7 May 2024. The site in the register's name may be the wrong one, which is a question for the reader and not a URL"
te24:Swiss Clean Battery Domat-Ems,batteries,Swiss Clean Battery Domat-Ems,,searched none found,Swiss Clean Battery AG Frauenfeld Domat-Ems gigafactory official website news,https://www.swisscleanbattery.com/en,the owner's own site,,"the company is recorded as in liquidation on its LinkedIn page; the site may no longer carry the project"
ieaccus:1018,transport and storage,Acorn Isle of Grain to Peterhead shipping,United Kingdom,searched none found,Acorn CCS Isle of Grain to Peterhead CO2 shipping project official Storegga announcement,https://www.theacornproject.uk/news-and-events/acorn-project-signs-mou-with-uniper-to-ship-and-store-captured-co2,the project's own newsroom release on the Uniper MoU,,"the same release is on storegga.earth/news/acorn-project-signs-mou-with-uniper-to-ship-and-store-captured-co2 if the project's own host refuses"
ieaccus:1096,transport and storage,OCAP,Netherlands,searched none found,OCAP CO2 levering glastuinbouw officiele website ocap.nl Linde,https://www.ocap.nl/over-ocap,"the operator's own page (OCAP CO2 B.V., a Linde subsidiary)",,"the host is not derived from the project's name here: a Glastuinbouw Nederland report and the Tomato World factsheet both print www.ocap.nl as the operator's address"
ieaccus:1142,cement,Beremend cement factory,Hungary,searched none found,Beremend cement plant CCS Duna-Drava Cement carbon capture project official,https://www.duna-drava.hu/en/beremend-plant,the owner's own plant page (Duna-Dráva Cement),,"NOTHING FOUND NAMING CARBON CAPTURE AT BEREMEND. The owner's environmental-investment page is about dust and alternative fuels. Related: the Croatian GT CCS project names Hungarian cement plants as emitters — see ieaccus:684"
ieaccus:1203,transport and storage,TarraCO2,Spain,named not admitted,Repsol TARRACO2 CO2 storage Tarragona press release repsol.com,https://ec.europa.eu/assets/cinea/project_fiches/innovation_fund/101191313.pdf,the Innovation Fund project factsheet for TarraCO2-Storage,,"NO REPSOL RELEASE FOUND. The owner is Repsol Exploración and repsol.com/en/press-room carries no TarraCO2 release the search reached; this factsheet is CINEA's, not the owner's"
